run_name,method,method_tag,adaptive_rel_mode,density,mobility,noise,energy,seed,windows_run,avg_rmse_all,std_rmse_all,p95_rmse_all,avg_rmse_non,std_rmse_non,p95_rmse_non,avg_objective,avg_K,min_K,max_K,pct_cap_limited,total_energy_spent,final_energy_remaining,spike_rejections,nodes_clamped_total,K_fixed,contact_threshold,smacof_iters
HD-MH-NH-EH-ADAPT-CLASSICAL-S1,adaptive,EH-ADAPT-CLASSICAL,classical,HD,H,H,H,1,40,12.011088040662404,5.6469406006006215,19.090258159260074,12.244306702750187,5.804085454095916,19.224545722029944,12.861588040662403,4.725,3,6,0.0,189.0,211.0,0,0,,,
HD-MH-NH-EH-ADAPT-CLASSICAL-S2,adaptive,EH-ADAPT-CLASSICAL,classical,HD,H,H,H,2,40,10.009334638868792,4.965715110388363,16.755340392374077,10.197648642463616,4.99624146427132,16.83289936315894,11.071334638868791,5.9,4,9,0.0,236.0,164.0,0,0,,,
HD-MH-NH-EH-ADAPT-GMDS-S1,adaptive,EH-ADAPT-GMDS,GMDS,HD,H,H,H,1,40,11.413182980223214,6.5350880302298675,17.310197970601862,11.522103794041275,6.594997278712009,17.86659183116814,12.835182980223214,7.9,4,11,0.0,316.0,84.0,0,0,,,
HD-MH-NH-EH-ADAPT-GMDS-S2,adaptive,EH-ADAPT-GMDS,GMDS,HD,H,H,H,2,40,10.378389527660715,6.921737844767462,16.72138866259258,10.380794706930484,6.893857872918707,16.656734036917406,11.651889527660716,7.075,4,10,0.0,283.0,117.0,0,0,,,
HD-MH-NH-EH-ADAPT-SMACOF-S1,adaptive,EH-ADAPT-SMACOF,SMACOF,HD,H,H,H,1,40,8.559503442329705,6.483998926895097,16.812593875792505,8.617168799165048,6.521569805013609,16.86172833836272,9.383003442329706,4.575,3,6,0.0,183.0,217.0,0,0,,,
HD-MH-NH-EH-ADAPT-SMACOF-S2,adaptive,EH-ADAPT-SMACOF,SMACOF,HD,H,H,H,2,40,6.780558345005562,6.928204608440293,17.125882436078815,6.821411172449208,6.93731749061238,17.07465497758658,7.640058345005562,4.775,4,6,0.0,191.0,209.0,0,0,,,
HD-MH-NH-EH-FIXK12-S1,fixed,FIXK12-S1,,HD,H,H,H,1,33,10.353984801260099,5.874884075318828,21.04919246167923,10.798590543726974,7.149896708940598,24.38160945847165,12.513984801260099,12.0,12,12,0.0,396.0,4.0,0,0,12,,
HD-MH-NH-EH-FIXK12-S2,fixed,FIXK12-S2,,HD,H,H,H,2,33,8.363515989865606,3.714217184793372,14.325638506304534,8.18805356850455,3.574804108137807,13.745900473051167,10.523515989865608,12.0,12,12,0.0,396.0,4.0,0,0,12,,
HD-MH-NH-EH-FIXK3-S1,fixed,FIXK3-S1,,HD,H,H,H,1,40,17.659246797496586,11.828242588185569,40.5481655839494,18.18203558719931,12.295210893244539,41.8668783531335,18.19924679749659,3.0,3,3,0.0,120.0,280.0,0,0,3,,
HD-MH-NH-EH-FIXK3-S2,fixed,FIXK3-S2,,HD,H,H,H,2,40,14.08458557282565,9.821745803406442,37.70617308164409,14.446573346773448,10.203206357152334,39.194736792248726,14.624585572825652,3.0,3,3,0.0,120.0,280.0,0,0,3,,
HD-MH-NH-EH-FIXK6-S1,fixed,FIXK6-S1,,HD,H,H,H,1,40,13.129120712010325,7.964625696001068,29.74045231747338,13.583136122555004,8.701023558305868,31.496914437481976,14.209120712010323,6.0,6,6,0.0,240.0,160.0,0,0,6,,
HD-MH-NH-EH-FIXK6-S2,fixed,FIXK6-S2,,HD,H,H,H,2,40,9.558810524315243,5.145774710038567,17.008637528978554,9.654641760046228,5.407403357320186,17.36812980167477,10.638810524315243,6.0,6,6,0.0,240.0,160.0,0,0,6,,
HD-MH-NH-EH-FIXK9-S1,fixed,FIXK9-S1,,HD,H,H,H,1,40,10.740689479972342,5.678502117012321,21.708531768284004,11.093708327275662,6.5335830119740175,24.45207371297119,12.360689479972342,9.0,9,9,0.0,360.0,40.0,0,0,9,,
HD-MH-NH-EH-FIXK9-S2,fixed,FIXK9-S2,,HD,H,H,H,2,40,9.050444247819446,4.7219593443990915,15.29700301693073,9.054792367228576,5.083870579653406,15.98601882570571,10.670444247819445,9.0,9,9,0.0,360.0,40.0,0,0,9,,
HD-MH-NH-EH-GMDS-S1,GMDS,GMDS,,HD,H,H,H,1,40,1.60997285415853,0.4849837845291013,2.392400535142021,1.6363887784879296,0.4497036651657076,2.5295538931342336,2.86997285415853,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-MH-NH-EH-GMDS-S2,GMDS,GMDS,,HD,H,H,H,2,40,12.433195720234329,5.247125074525061,16.68420258674719,12.343860653491827,5.245013941177555,16.958249063476245,13.693195720234328,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-MH-NH-EH-S1,adaptive,,classical,HD,H,H,H,1,40,12.011088040662404,5.6469406006006215,19.090258159260074,12.244306702750187,5.804085454095916,19.224545722029944,12.861588040662403,4.725,3,6,0.0,189.0,211.0,0,0,,,
HD-MH-NH-EH-S2,adaptive,,classical,HD,H,H,H,2,40,10.009334638868792,4.965715110388363,16.755340392374077,10.197648642463616,4.99624146427132,16.83289936315894,11.071334638868791,5.9,4,9,0.0,236.0,164.0,0,0,,,
HD-MH-NH-EH-S3,adaptive,,classical,HD,H,H,H,3,40,9.954182048960664,8.142950180472447,23.28066710193194,10.126745584461009,8.514027253112413,25.50323295522186,10.953182048960663,5.55,3,8,0.0,222.0,178.0,0,0,,,
HD-MH-NH-EH-SMACOF-S1,SMACOF,SMACOF,,HD,H,H,H,1,40,6.417150941060444,6.397301367044452,18.036755269337256,6.4073114435953595,6.33480933319014,17.858914606370085,7.677150941060444,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-MH-NH-EH-SMACOF-S2,SMACOF,SMACOF,,HD,H,H,H,2,40,6.241383048106921,5.4675386690794605,15.919068339670108,6.248585362100902,5.4068916420276905,15.776683121576276,7.501383048106922,7.0,7,7,0.0,280.0,120.0,0,0,7,,
HD-MH-NH-EL-ADAPT-CLASSICAL-S1,adaptive,EL-ADAPT-CLASSICAL,classical,HD,H,H,L,1,11,9.47455222177965,4.445066877849253,14.526624458667325,9.783551983491604,4.608683683057643,14.973596949305236,10.341824949052379,4.818181818181818,3,6,0.0,79.5,0.5,0,0,,,
